0.354543, -29.6459, 34.9643
-0.0501424, -16.3544, 39.7887
-7.35642, -6.02973, 43.668
-5.83327, -2.85512, 44.0815
-8.91982, -3.3614, 40.4265
-12.4394, -4.23205, 38.0437
-13.3559, -1.85364, 38.2686
-7.28619, 5.8428, 38.9876
-10.046, 6.70838, 39.3851
-21.3881, 3.3735, 42.7587
